               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.025134,           0.0045682,                   0,                   1,              0.8602,             0.91486,             0.48366,            0.029234,           0.0021594,                   0,             0.00703,             0.00703,             0.00703
                  38,            0.025351,           0.0046212,                   0,                   1,             0.85568,             0.92708,             0.52647,            0.028186,           0.0020839,                   0,           0.0069475,           0.0069475,           0.0069475
                  39,            0.025272,           0.0045885,                   0,             0.99382,             0.84483,             0.89864,             0.47599,            0.029479,           0.0021949,                   0,            0.006865,            0.006865,            0.006865
                  40,            0.025632,           0.0045841,                   0,                   1,             0.85716,             0.89005,             0.49565,            0.029242,           0.0021349,                   0,           0.0067825,           0.0067825,           0.0067825
                  41,            0.024884,           0.0044408,                   0,                   1,             0.85562,              0.9351,             0.49908,            0.027438,            0.002122,                   0,              0.0067,              0.0067,              0.0067
                  42,            0.024304,           0.0043536,                   0,              0.9739,             0.84483,             0.89775,             0.49101,            0.028877,           0.0022497,                   0,           0.0066175,           0.0066175,           0.0066175
                  43,            0.024364,            0.004536,                   0,             0.98249,             0.84483,             0.91194,             0.52531,            0.027819,           0.0021191,                   0,            0.006535,            0.006535,            0.006535
                  44,            0.024507,           0.0044747,                   0,             0.98372,             0.84483,             0.91133,              0.5156,            0.027506,           0.0020911,                   0,           0.0064525,           0.0064525,           0.0064525
                  45,            0.024279,           0.0044559,                   0,                   1,             0.85845,             0.93711,             0.50227,            0.027994,           0.0020792,                   0,             0.00637,             0.00637,             0.00637
                  46,            0.023943,           0.0044202,                   0,              0.9878,             0.86207,             0.89195,             0.50288,            0.028716,           0.0022389,                   0,           0.0062875,           0.0062875,           0.0062875
                  47,            0.023397,           0.0043065,                   0,             0.99928,             0.84483,             0.89983,             0.48776,            0.029027,            0.002193,                   0,            0.006205,            0.006205,            0.006205
                  48,            0.024042,            0.004239,                   0,             0.98252,             0.86207,             0.90679,             0.50323,            0.027531,           0.0022084,                   0,           0.0061225,           0.0061225,           0.0061225
                  49,            0.023602,           0.0043047,                   0,             0.98015,             0.85129,             0.91535,             0.52029,            0.027057,           0.0022418,                   0,             0.00604,             0.00604,             0.00604
                  50,            0.022957,           0.0042363,                   0,             0.98707,             0.86207,              0.9046,             0.50522,            0.027559,           0.0021793,                   0,           0.0059575,           0.0059575,           0.0059575
                  51,            0.023179,           0.0043344,                   0,             0.99189,             0.86207,              0.8983,             0.48646,            0.028259,           0.0022868,                   0,            0.005875,            0.005875,            0.005875
                  52,            0.023299,           0.0042602,                   0,             0.98019,             0.85313,             0.92324,             0.50677,            0.028755,           0.0022183,                   0,           0.0057925,           0.0057925,           0.0057925
                  53,            0.023241,            0.004252,                   0,             0.97173,             0.84483,             0.89281,             0.46022,            0.028758,           0.0023528,                   0,             0.00571,             0.00571,             0.00571
                  54,            0.023447,           0.0042558,                   0,             0.98766,             0.86207,              0.8949,              0.5036,            0.028756,           0.0022764,                   0,           0.0056275,           0.0056275,           0.0056275
                  55,            0.023223,           0.0041254,                   0,              0.9895,             0.86207,             0.89625,             0.51071,            0.029175,           0.0021528,                   0,            0.005545,            0.005545,            0.005545
                  56,            0.022996,           0.0041801,                   0,             0.97692,             0.86207,             0.89172,             0.51725,             0.02865,            0.002273,                   0,           0.0054625,           0.0054625,           0.0054625
                  57,            0.022516,           0.0040742,                   0,             0.96152,             0.86207,             0.89278,             0.48228,            0.029261,           0.0022305,                   0,             0.00538,             0.00538,             0.00538
                  58,            0.022144,           0.0041852,                   0,             0.96162,             0.86207,             0.88896,             0.51094,            0.028698,           0.0022978,                   0,           0.0052975,           0.0052975,           0.0052975
                  59,            0.021974,           0.0041485,                   0,             0.99755,             0.86207,             0.88603,              0.4982,            0.028159,           0.0022282,                   0,            0.005215,            0.005215,            0.005215
                  60,            0.022178,           0.0041777,                   0,             0.98854,             0.86207,             0.89506,             0.51031,            0.028247,            0.002166,                   0,           0.0051325,           0.0051325,           0.0051325
                  61,            0.022294,           0.0041643,                   0,             0.98136,             0.86207,             0.88909,             0.51584,            0.028504,           0.0022029,                   0,             0.00505,             0.00505,             0.00505
                  62,            0.022207,           0.0041905,                   0,              0.9929,             0.86207,             0.88592,             0.50504,            0.028802,           0.0022372,                   0,           0.0049675,           0.0049675,           0.0049675
                  63,            0.021151,           0.0040237,                   0,             0.98958,             0.86207,             0.90018,             0.49799,            0.028743,           0.0023139,                   0,            0.004885,            0.004885,            0.004885
                  64,            0.021366,           0.0040962,                   0,                   1,             0.85709,             0.87732,                 0.5,            0.029865,            0.002276,                   0,           0.0048025,           0.0048025,           0.0048025
                  65,             0.02119,            0.003957,                   0,                   1,              0.8584,             0.91652,             0.51734,            0.029088,           0.0021783,                   0,             0.00472,             0.00472,             0.00472
                  66,            0.021218,           0.0039909,                   0,             0.97668,             0.86207,             0.89144,             0.50958,            0.028513,           0.0022033,                   0,           0.0046375,           0.0046375,           0.0046375
                  67,             0.02125,           0.0040546,                   0,             0.99589,             0.86207,             0.88287,             0.51059,            0.028606,           0.0022762,                   0,            0.004555,            0.004555,            0.004555
                  68,            0.021115,           0.0038837,                   0,             0.99647,             0.86207,             0.87861,             0.45785,            0.029819,           0.0023251,                   0,           0.0044725,           0.0044725,           0.0044725
                  69,            0.020715,           0.0037528,                   0,             0.99286,             0.84483,             0.89303,             0.51517,            0.028934,           0.0023346,                   0,             0.00439,             0.00439,             0.00439
                  70,            0.021127,           0.0040476,                   0,             0.99083,             0.86207,             0.88246,             0.50546,            0.028052,           0.0023735,                   0,           0.0043075,           0.0043075,           0.0043075
                  71,             0.02072,           0.0037883,                   0,             0.99218,             0.86207,             0.88458,             0.49729,            0.029201,           0.0023968,                   0,            0.004225,            0.004225,            0.004225
                  72,            0.020279,           0.0039959,                   0,             0.99149,             0.86207,             0.88028,             0.50239,            0.028557,           0.0022993,                   0,           0.0041425,           0.0041425,           0.0041425
                  73,            0.020328,           0.0039028,                   0,             0.99308,             0.86207,             0.89375,             0.49774,            0.029122,           0.0022689,                   0,             0.00406,             0.00406,             0.00406
                  74,            0.020101,           0.0038136,                   0,             0.98996,             0.86207,             0.88106,             0.49047,            0.029016,           0.0023356,                   0,           0.0039775,           0.0039775,           0.0039775
                  75,            0.019649,           0.0037282,                   0,             0.99086,             0.86207,             0.89093,             0.49807,            0.028843,           0.0023595,                   0,            0.003895,            0.003895,            0.003895
                  76,            0.019836,           0.0037403,                   0,             0.99215,             0.86207,             0.88204,              0.5039,            0.028814,           0.0023169,                   0,           0.0038125,           0.0038125,           0.0038125
                  77,              0.0196,           0.0038881,                   0,              0.9904,             0.86207,             0.89277,             0.49881,             0.02877,           0.0023527,                   0,             0.00373,             0.00373,             0.00373
                  78,            0.019691,           0.0037912,                   0,             0.99653,             0.86207,             0.88668,             0.50353,            0.029232,           0.0024256,                   0,           0.0036475,           0.0036475,           0.0036475
                  79,            0.019362,           0.0036246,                   0,             0.98934,             0.86207,             0.90794,             0.50781,            0.027905,           0.0023594,                   0,            0.003565,            0.003565,            0.003565
                  80,            0.019378,           0.0037332,                   0,             0.99234,             0.86207,             0.89057,             0.50234,            0.028998,           0.0023483,                   0,           0.0034825,           0.0034825,           0.0034825
                  81,            0.019034,           0.0036518,                   0,              0.9948,             0.86207,             0.89177,             0.51402,            0.028218,           0.0023924,                   0,              0.0034,              0.0034,              0.0034
                  82,            0.019432,           0.0036268,                   0,             0.98743,             0.86207,              0.9022,                0.48,            0.029832,            0.002492,                   0,           0.0033175,           0.0033175,           0.0033175
                  83,            0.019281,           0.0036903,                   0,             0.97559,             0.84483,             0.89702,             0.49408,            0.028566,           0.0024967,                   0,            0.003235,            0.003235,            0.003235
                  84,            0.018909,           0.0036966,                   0,              0.9759,             0.86207,             0.90171,             0.49898,            0.028076,           0.0024498,                   0,           0.0031525,           0.0031525,           0.0031525
                  85,            0.018845,           0.0036794,                   0,             0.99065,             0.86207,             0.89309,             0.50361,            0.028386,           0.0024583,                   0,             0.00307,             0.00307,             0.00307
                  86,            0.018471,           0.0037589,                   0,             0.99221,             0.86207,             0.88308,             0.52242,             0.02787,           0.0024508,                   0,           0.0029875,           0.0029875,           0.0029875
                  87,            0.018649,           0.0036797,                   0,             0.98657,             0.86207,             0.88894,             0.51653,            0.027639,           0.0023897,                   0,            0.002905,            0.002905,            0.002905
                  88,            0.018351,           0.0035665,                   0,             0.98888,             0.86207,             0.87946,             0.51072,            0.028297,            0.002428,                   0,           0.0028225,           0.0028225,           0.0028225
                  89,            0.018352,           0.0036282,                   0,             0.97941,             0.86207,             0.88309,             0.50937,            0.028578,           0.0024454,                   0,             0.00274,             0.00274,             0.00274
                  90,            0.018285,           0.0036343,                   0,             0.99431,             0.86207,              0.8959,              0.5042,            0.027913,           0.0025037,                   0,           0.0026575,           0.0026575,           0.0026575
                  91,            0.018212,           0.0034324,                   0,             0.99183,             0.86207,             0.90338,             0.49745,            0.028777,           0.0025094,                   0,            0.002575,            0.002575,            0.002575
                  92,            0.017673,           0.0033746,                   0,              0.9927,             0.86207,             0.88289,             0.51912,            0.028968,           0.0024548,                   0,           0.0024925,           0.0024925,           0.0024925
                  93,            0.018163,           0.0035347,                   0,             0.99305,             0.86207,             0.88093,             0.52163,            0.028342,           0.0024986,                   0,             0.00241,             0.00241,             0.00241
                  94,            0.017643,           0.0035144,                   0,             0.99546,             0.86207,             0.87992,             0.50528,             0.02865,           0.0024854,                   0,           0.0023275,           0.0023275,           0.0023275
                  95,            0.017789,           0.0034298,                   0,                   1,             0.85612,              0.8902,             0.49694,            0.029028,           0.0024795,                   0,            0.002245,            0.002245,            0.002245
                  96,            0.017533,           0.0035594,                   0,                   1,             0.86002,             0.87434,              0.5192,            0.028795,           0.0024382,                   0,           0.0021625,           0.0021625,           0.0021625
                  97,            0.017295,           0.0034498,                   0,             0.98923,             0.86207,             0.89183,             0.50996,            0.028271,           0.0025271,                   0,             0.00208,             0.00208,             0.00208
                  98,             0.01728,           0.0034847,                   0,             0.98887,             0.86207,             0.89952,             0.53344,            0.028026,           0.0024733,                   0,           0.0019975,           0.0019975,           0.0019975
                  99,            0.016996,           0.0035428,                   0,             0.98025,             0.86207,             0.89473,             0.52771,            0.028367,           0.0024681,                   0,            0.001915,            0.001915,            0.001915
                 100,            0.016356,           0.0034917,                   0,                   1,             0.86062,             0.88314,             0.52269,            0.028272,           0.0025221,                   0,           0.0018325,           0.0018325,           0.0018325
                 101,            0.016404,            0.003326,                   0,             0.99368,             0.86207,             0.89558,             0.52414,            0.028578,             0.00249,                   0,             0.00175,             0.00175,             0.00175
                 102,            0.016419,           0.0032692,                   0,             0.99172,             0.86207,             0.88794,             0.52829,             0.02841,           0.0025128,                   0,           0.0016675,           0.0016675,           0.0016675
